contractID,playerName,franchiseName,salary
411,Luguentz Dort,OKC,1517981
412,Admiral Schofield,OKC,1517981
413,Daniel Gafford,WAS,1517981
414,Chris Silva,SAC,1517981
415,Justin James,SAC,1517981
416,Ignas Brazdeikis,PHI,1517981
417,Isaiah Roby,OKC,1517981
418,Talen Horton-Tucker,LAL,1517981
419,Jalen Lecque,IND,1517981
420,Chris Clemons,HOU,1517981
421,Alen Smailagi_,GSW,1517981
422,Matt Thomas,UTA,1517981
423,Miye Oni,UTA,1517981
424,Terence Davis,SAC,1517981
425,Naz Reid,MIN,1517981
426,Jaylen Nowell,MIN,1517981
427,Mychal Mulder,GSW,1517981
428,Dean Wade,CLE,1517981
429,Jalen McDaniels,CHO,1517981
430,Caleb Martin,CHO,1517981
431,Javonte Green,CHI,1517981
432,Robert Woodard,SAC,1500000
433,J.R. Smith,CLE,1456667
434,Jae'Sean Tate,HOU,1445967
435,DaQuan Jeffries,SAC,1445697
436,Zylan Cheatham,OKC,1445697
437,Isaiah Hartenstein,CLE,1445697
438,Zach Norvell,CHI,1445697
439,Kelan Martin,IND,1445697
440,Paul Watson,TOR,1445697
441,Vernon Carey Jr.,CHO,1350000
442,Xavier Tillman Sr.,MEM,1300000
443,Tyrell Terry,DAL,1289846
444,Blake Griffin,BRK,33685241
445,Ersan _lyasova,UTA,1194542
446,Guerschon Yabusele,BOS,1039080
447,Elfrid Payton,NYK,5760000
448,Jahmi'us Ramsey,SAC,1000000
449,Quinn Cook,LAL,1797183
450,Gorgui Dieng,SAS,17587688
451,Taj Gibson,NYK,3283684
452,Nick Richards,CHO,1000000
453,Kyle Singler,OKC,999200
454,Glenn Robinson III,SAC,930930
455,Deividas Sirvydis,DET,898310
456,Elijah Hughes,UTA,898310
457,Tre Jones,SAS,898310
458,CJ Elleby,POR,898310
459,Isaiah Joe,PHI,898310
460,Jordan Nwora,MIL,898310
461,Daniel Oturu,LAC,898310
462,Sam Merrill,MIL,898310
463,Anthony Gill,WAS,898310
464,Kenyon Martin Jr.,HOU,898310
465,Vlatko _an_ar,DEN,898310
466,LaMarcus Aldridge,BRK,19078340
467,Quinn Cook,LAL,1797183
468,Andre Drummond,LAL,29546311
469,Damian Jones,PHO,785285
470,Shaquille Harrison,UTA,770433
471,Sindarius Thornwell,NOP,747435
472,Khyri Thomas,ATL,744684
473,Patrick Patterson,OKC,3814768
474,Cole Aldrich,MIN,685340
475,Shaun Livingston,GSW,666667
476,Moses Brown,OKC,495102
477,Dakari Johnson,MEM,459414
478,Iman Shumpert,BRK,447155
479,Wayne Ellington,NYK,3005225
480,Bruno Caboclo,HOU,361256
481,A.J. Hammons,MIA,350087
482,An_ejs Pase__iks,WAS,350000
483,Rayjon Tucker,CLE,340000
484,Thon Maker,CLE,309355
485,Oshae Brissett,TOR,300000
486,Noah Vonleh,BRK,263995
487,Frank Jackson,OKC,\N
488,Norvel Pelle,BRK,217845
489,Andre Roberson,BRK,152839
490,Justin Anderson,PHI,125000
491,Troy Williams,HOU,122741
492,Demetrius Jackson,BOS,92857
493,Henry Ellenson,TOR,50000
494,Chimezie Metu,SAC,\N
