,,,,,,,,,,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats
Player,Game,Team,,Opp,Margin,Type,Assisted,Distance,,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Walter Dukes,Feb 16 1958,DET,@,STL,tied,2-pt FG,unassisted,At Rim,,,19,6,10,.600,,,,7,13,.538,,,,,
Neil Johnston  (2),Jan 17 1958,PHW,N,NYK,-1,2-pt FG,unassisted,15,,,21,8,17,.471,,,,5,10,.500,10,1,,,
Cliff Hagan  (1),Apr 11 1957 p,STL,,BOS,tied,2-pt FG,unassisted,At Rim,,31:00,16,7,14,.500,,,,2,3,.667,20,4,,,
Dolph Schayes  (3),Mar 9 1957,SYR,,BOS,tied,2-pt FG,unassisted,17,,,36,9,,,,,,18,18,1.000,,,,,
Bob Harrison  (2),Feb 23 1957,SYR,@,MNL,tied,2-pt FG,?,40,,,10,4,11,.364,,,,2,3,.667,,,,,
Bill Sharman  (2),Dec 22 1956,BOS,,STL,tied,2-pt FG,B. Cousy,15,,34:00,8,3,14,.214,,,,2,2,1.000,,3,,,
Bob Harrison  (1),Feb 20 1956,STL,N,FTW,tied,2-pt FG,?,30,,,4,2,,,,,,0,0,,,,,,
Bob Cousy,Feb 9 1956,BOS,@,SYR,-1,2-pt FG,unassisted,,,44:00,17,6,18,.333,,,,5,8,.625,8,9,,,
Bob Pettit  (1),Feb 8 1956,STL,N,BOS,-1,2-pt FG,unassisted,At Rim,,46:00,36,13,24,.542,,,,10,11,.909,17,,,,
Richie Regan,Dec 10 1955,ROC,,FTW,-1,2-pt FG,?,25,,,11,5,,,,,,1,1,1.000,,,,,
Jim Tucker,Nov 5 1955,SYR,,FTW,-1,2-pt FG,P. Seymour,,,16:00,3,1,6,.167,,,,1,1,1.000,4,1,,,
Dick Farley,Feb 19 1955,SYR,@,NYK,tied,2-pt FG,P. Seymour,35,,,16,6,,,,,,4,5,.800,,,,,
Jim Baechtold,Feb 13 1955,NYK,@,BOS,tied,2-pt FG,unassisted,15,,33:00,16,5,14,.357,,,,6,6,1.000,,8,,,
Dolph Schayes  (2),Jan 19 1955,SYR,N,PHW,tied,Free throw,,,,36:00,22,5,17,.294,,,,12,13,.923,19,1,,,
Vern Mikkelsen,Dec 8 1954,MNL,@,BOS,tied,Free throw,,,,40:00,25,7,20,.350,,,,11,11,1.000,,2,,,
Odie Spears,Dec 5 1954,ROC,@,FTW,tied,Free throw,,,,,14,5,,,,,,4,5,.800,,,,,
Cal Christensen,Oct 30 1954,ROC,,BOS,tied,Free throw,,,,,5,1,,,,,,3,4,.750,,,,,
Irv Bemoras  (2),Feb 23 1954,MLH,N,SYR,tied,2-pt FG,B. Tosheff,At Rim,,11:00,6,3,8,.375,,,,0,1,.000,3,1,,,
Irv Bemoras  (1),Feb 21 1954,MLH,@,FTW,tied,Free throw,,,,,9,3,,,,,,3,3,1.000,,,,,
Carl Braun  (4),Jan 22 1954,NYK,N,PHW,tied,2-pt FG,?,,,,3,1,,,,,,1,1,1.000,,,,,
Wally Osterkorn,Jan 16 1954,SYR,@,ROC,tied,2-pt FG,unassisted,10,,,15,5,,,,,,5,8,.625,,,,,
Carl Braun  (3),Dec 19 1953,NYK,@,BLB,tied,2-pt FG,unassisted,,,,13,5,,,,,,3,3,1.000,,,,,
Mel Payton,Mar 13 1953,INO,,MLH,tied,2-pt FG,?,,,,5,2,,,,,,1,2,.500,,,,,
Arnie Risen,Mar 8 1953,ROC,@,FTW,tied,2-pt FG,?,15,,,22,7,,,,,,8,12,.667,,,,,
George Ratkovicz,Feb 11 1953,MLH,N,INO,tied,2-pt FG,?,25,,,5,1,,,,,,3,3,1.000,,,,,
Vince Boryla  (2),Jan 27 1953,NYK,@,ROC,tied,2-pt FG,?,40,,,12,5,,,,,,2,3,.667,,,,,
Andy Phillip  (3),Dec 27 1952,FTW,N,NYK,-1,2-pt FG,?,At Rim,,,15,5,,,,,,5,5,1.000,,,,,
Bill Sharman  (1),Nov 23 1952,BOS,@,ROC,tied,2-pt FG,B. Brannum,17,,,21,9,13,.692,,,,3,3,1.000,,,,,
Don Barksdale,Nov 22 1952,BLB,N,PHW,-1,2-pt FG,unassisted,At Rim,,,14,6,,,,,,2,3,.667,,,,,
Andy Phillip  (2),Nov 1 1952,PHW,,SYR,tied,2-pt FG,unassisted,45,,53:00,21,8,16,.500,,,,5,7,.714,11,10,,,
Arnie Johnson  (2),Mar 13 1952,ROC,@,FTW,tied,2-pt FG,B. Davies,At Rim,,,15,5,11,.455,,,,5,10,.500,8,,,,
Neil Johnston  (1),Feb 26 1952,PHW,@,INO,tied,2-pt FG,W. Budko,At Rim,,,10,4,,,,,,2,2,1.000,,,,,
Jack Coleman  (2),Feb 14 1952,ROC,@,SYR,tied,2-pt FG,unassisted,At Rim,,,16,7,,,,,,2,2,1.000,,,,,
Andy Phillip  (1),Feb 1 1952,PHW,,BLB,tied,2-pt FG,unassisted,At Rim,,,14,5,10,.500,,,,4,4,1.000,5,10,,,
Vince Boryla  (1),Dec 18 1951,NYK,,MNL,tied,2-pt FG,C. Simmons,30,,,9,4,,,,,,1,1,1.000,,,,,
Chuck Cooper,Feb 21 1951,BOS,,NYK,tied,2-pt FG,S. Hertzberg,20,,,13,6,,,,,,1,4,.250,,,,,
Ralph Beard  (2),Feb 13 1951,INO,,FTW,tied,2-pt FG,B. Lavoy,45,,,21,8,,,,,,5,5,1.000,,,,,
Arnie Johnson  (1),Jan 10 1951,ROC,@,BLB,tied,2-pt FG,?,,,,17,6,7,.857,,,,5,7,.714,,,,,
Ralph Beard  (1),Jan 6 1951,INO,@,ROC,tied,2-pt FG,P. Walther,At Rim,,,17,8,23,.348,,,,1,1,1.000,,1,,,
Dolph Schayes  (1),Jan 6 1951,SYR,@,NYK,tied,2-pt FG,?,10,,,26,10,16,.625,,,,6,9,.667,15,4,,,
Jack Coleman  (1),Nov 29 1950,ROC,@,WSC,-1,2-pt FG,unassisted,At Rim,,,7,3,,,,,,1,1,1.000,,,,,
Johnny Payak,Mar 19 1950,WAT,,TRI,tied,2-pt FG,unassisted,8,,,20,5,16,.313,,,,10,14,.714,,,,,
Carl Braun  (2),Mar 8 1950,NYK,,STB,tied,2-pt FG,E. Vandeweghe,35,,,20,8,20,.400,,,,4,7,.571,,2,,,
Andy Duncan,Feb 26 1950,ROC,@,STB,tied,2-pt FG,unassisted,At Rim,,,8,4,7,.571,,,,0,1,.000,,,,,
Charlie Black,Jan 18 1950,FTW,@,SHE,-1,2-pt FG,?,,,,11,3,13,.231,,,,5,8,.625,,5,,,
Carl Braun  (1),Jan 14 1950,NYK,,BOS,tied,2-pt FG,E. Vandeweghe,,,,21,10,23,.435,,,,1,1,1.000,,7,,,
Dick McGuire,Dec 10 1949,NYK,,CHS,tied,2-pt FG,unassisted,At Rim,,,14,4,,,,,,6,9,.667,,,,,
Herm Schaefer,Feb 26 1949,MNL,@,BLB,tied,Free throw,,,,,14,3,,,,,,8,9,.889,,,,,
Belus Smawley,Nov 25 1948,STB,,PRO,tied,2-pt FG,?,50,,,16,6,,,,,,4,6,.667,,,,,
John Logan,Feb 26 1948,STB,,BOS,tied,2-pt FG,?,45,,,18,5,14,.357,,,,8,9,.889,,,,,
Bob Feerick,Jan 22 1947,WSC,,PHW,tied,2-pt FG,?,,,,19,7,,,,,,5,7,.714,,,,,
John Barr,Dec 10 1946,STB,@,CLR,-1,2-pt FG,A. Davis,45,,,4,2,,,,,,0,1,.000,,,,,
