,,,,,,,,,,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats
Player,Game,Team,,Opp,Margin,Type,Assisted,Distance,,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Rashard Lewis,Jan 21 2008,ORL,,DET,tied,2-pt FG,unassisted,12,,38:34,16,7,16,.438,2,6,.333,0,0,,6,0,1,1,7.3
Jerry Stackhouse  (4),Jan 12 2008,DAL,@,LAC,-2,3-pt FG,J. Terry,26,,27:55,13,4,12,.333,2,6,.333,3,3,1.000,1,2,1,0,6.5
Linas Kleiza,Dec 23 2007,DEN,@,SAC,-1,2-pt FG,unassisted,22,,26:38,12,5,12,.417,2,5,.400,0,0,,9,3,0,2,11.4
Dwyane Wade  (3),Dec 22 2007,MIA,,UTA,tied,2-pt FG,unassisted,20,,35:35,20,6,14,.429,0,0,,8,10,.800,3,6,1,1,15.0
Andre Iguodala  (2),Dec 22 2007,PHI,@,MEM,tied,2-pt FG,unassisted,20,,37:25,23,9,21,.429,1,3,.333,4,6,.667,2,1,3,0,14.2
Rudy Gay  (1),Dec 19 2007,MEM,,SAS,tied,3-pt FG,unassisted,27,,44:19,23,10,22,.455,1,3,.333,2,3,.667,9,3,1,2,14.2
Joe Johnson  (1),Dec 6 2007,ATL,,MIN,-1,2-pt FG,unassisted,22,,46:57,21,8,21,.381,1,5,.200,4,5,.800,9,4,2,0,13.4
Travis Outlaw,Dec 3 2007,POR,@,MEM,-1,2-pt FG,unassisted,6,,30:10,21,8,13,.615,3,3,1.000,2,2,1.000,7,2,0,2,20.4
Ray Allen  (3),Nov 24 2007,BOS,@,CHA,-2,3-pt FG,P. Pierce,29,,41:27,14,4,15,.267,1,6,.167,5,5,1.000,4,5,0,0,8.2
Kevin Durant  (1),Nov 16 2007,SEA,@,ATL,tied,3-pt FG,E. Watson,28,,44:38,21,8,18,.444,1,5,.200,4,4,1.000,3,2,3,3,14.6
Kevin Garnett  (4),Mar 25 2007,MIN,,POR,-1,2-pt FG,T. Hassell,15,,34:54,22,10,19,.526,0,0,,2,4,.500,9,1,1,0,11.9
Gilbert Arenas  (5),Mar 21 2007,WAS,@,SEA,tied,2-pt FG,unassisted,At Rim,,38:14,42,13,24,.542,6,12,.500,10,12,.833,4,7,2,1,34.4
Steve Francis,Mar 10 2007,NYK,@,WAS,-2,3-pt FG,unassisted,26,,38:38,26,8,19,.421,5,10,.500,5,7,.714,7,3,1,0,11.3
Desmond Mason,Feb 7 2007,NOK,@,DEN,tied,2-pt FG,unassisted,5,,35:38,23,10,14,.714,0,0,,3,5,.600,6,1,1,1,18.6
Tyronn Lue,Feb 4 2007,ATL,@,NJN,tied,2-pt FG,unassisted,22,,16:59,9,3,4,.750,1,1,1.000,2,2,1.000,1,0,0,0,7.3
Vince Carter  (3),Jan 29 2007,NJN,@,UTA,-2,3-pt FG,unassisted,35,,29:13,33,10,15,.667,3,4,.750,10,13,.769,3,3,1,0,26.7
Eddie Jones  (2),Jan 24 2007,MEM,@,UTA,tied,2-pt FG,unassisted,22,,32:24,19,7,11,.636,3,6,.500,2,2,1.000,3,2,2,0,17.4
Monta Ellis  (1),Jan 24 2007,GSW,,NJN,-1,2-pt FG,B. Davis,17,,39:04,20,8,14,.571,0,4,.000,4,5,.800,2,6,2,0,15.8
Gilbert Arenas  (4),Jan 15 2007,WAS,,UTA,tied,3-pt FG,unassisted,25,,41:19,51,14,29,.483,7,12,.583,16,17,.941,3,5,1,0,39.5
Kevin Garnett  (3),Jan 5 2007,MIN,,PHI,tied,2-pt FG,T. Hassell,15,,44:37,25,10,23,.435,0,1,.000,5,7,.714,14,5,1,1,17.9
Gilbert Arenas  (3),Jan 3 2007,WAS,,MIL,tied,3-pt FG,unassisted,32,,43:55,32,12,25,.480,4,9,.444,4,5,.800,11,8,4,0,28.0
David Lee,Dec 20 2006,NYK,,CHA,tied,2-pt FG,J. Crawford,At Rim,,49:04,10,4,8,.500,0,0,,2,2,1.000,19,3,0,0,8.4
T.J. Ford,Dec 20 2006,TOR,@,LAC,tied,2-pt FG,unassisted,12,,29:11,14,4,12,.333,0,0,,6,6,1.000,0,9,2,0,12.9
Stephon Marbury  (2),Dec 18 2006,NYK,,UTA,-1,2-pt FG,unassisted,At Rim,,45:06,29,9,20,.450,2,6,.333,9,13,.692,5,8,1,0,21.5
Paul Pierce  (5),Dec 9 2006,BOS,@,NJN,tied,2-pt FG,unassisted,22,,38:01,17,4,18,.222,0,3,.000,9,10,.900,6,4,0,1,7.5
James Posey  (2),Dec 2 2006,MIA,@,MEM,-2,3-pt FG,J. Williams,26,,27:16,6,2,4,.500,2,4,.500,0,0,,5,0,3,1,7.4
Luke Ridnour  (1),Dec 1 2006,SEA,,IND,tied,2-pt FG,unassisted,3,,31:58,17,8,16,.500,1,3,.333,0,2,.000,3,6,1,0,10.5
Delonte West,Nov 8 2006,BOS,,CHA,tied,2-pt FG,P. Pierce,22,,24:20,7,3,10,.300,1,3,.333,0,0,,1,4,1,0,2.9
Kobe Bryant  (5),Apr 30 2006 p,LAL,,PHO,-1,2-pt FG,unassisted,17,,38:30,24,9,14,.643,0,1,.000,6,8,.750,4,8,0,0,15.2
Kevin Martin  (1),Apr 28 2006 p,SAC,,SAS,-1,2-pt FG,M. Bibby,At Rim,,27:52,10,3,7,.429,0,2,.000,4,4,1.000,6,0,1,0,8.7
Josh Childress,Apr 5 2006,ATL,,MIN,tied,2-pt FG,Z. Pachulia,At Rim,,34:19,10,3,7,.429,0,1,.000,4,7,.571,8,0,1,2,7.5
Jason Richardson,Mar 23 2006,GSW,@,DAL,-2,3-pt FG,unassisted,24,,40:47,40,14,23,.609,5,10,.500,7,8,.875,3,4,3,1,35.5
Damon Jones,Mar 8 2006,CLE,@,TOR,-2,3-pt FG,L. James,23,,20:25,8,3,7,.429,2,6,.333,0,0,,3,3,0,0,6.1
Paul Pierce  (4),Mar 7 2006,BOS,@,WAS,-1,2-pt FG,unassisted,18,,42:36,31,8,20,.400,3,7,.429,12,14,.857,5,4,1,0,16.5
David West,Feb 13 2006,NOK,,WAS,-1,2-pt FG,D. Mason,21,,39:49,19,7,14,.500,0,0,,5,5,1.000,9,2,1,0,14.1
Pau Gasol  (2),Feb 13 2006,MEM,@,GSW,tied,2-pt FG,unassisted,4,,40:54,23,10,26,.385,0,0,,3,6,.500,13,6,0,2,16.3
Ray Allen  (2),Jan 22 2006,SEA,@,PHO,tied,3-pt FG,unassisted,35,,51:04,42,14,28,.500,8,16,.500,6,7,.857,6,3,2,1,31.6
Andre Iguodala  (1),Jan 22 2006,PHI,@,MIN,tied,2-pt FG,unassisted,10,,39:11,14,6,11,.545,0,0,,2,3,.667,8,1,0,0,9.8
Ben Gordon,Jan 18 2006,CHI,,NYK,tied,2-pt FG,unassisted,22,,45:41,32,14,28,.500,1,5,.200,3,3,1.000,2,2,2,0,18.4
Andrew Bogut  (1),Dec 20 2005,MIL,,SAS,tied,2-pt FG,T. Kukoč,8,,28:05,19,8,14,.571,0,0,,3,6,.500,9,0,1,2,16.9
Bonzi Wells,Dec 13 2005,SAC,@,MIN,-1,3-pt FG,B. Miller,24,,41:24,20,8,16,.500,2,2,1.000,2,3,.667,7,4,1,1,17.2
Mo Williams  (2),Dec 2 2005,MIL,@,WAS,tied,3-pt FG,unassisted,27,,34:47,35,15,21,.714,5,7,.714,0,0,,3,6,0,0,30.4
Jason Terry  (2),Nov 28 2005,DAL,@,TOR,tied,2-pt FG,M. Daniels,9,,41:19,26,11,18,.611,4,6,.667,0,2,.000,1,6,3,1,24.4
Nate Robinson,Nov 26 2005,NYK,,PHI,tied,3-pt FG,S. Marbury,23,,32:48,17,7,19,.368,2,6,.333,1,1,1.000,6,1,2,0,6.8
Mo Williams  (1),Nov 12 2005,MIL,,IND,-2,3-pt FG,B. Simmons,29,,24:57,19,7,11,.636,3,4,.750,2,2,1.000,2,1,1,0,11.2
Pau Gasol  (1),Nov 12 2005,MEM,@,ATL,-1,2-pt FG,unassisted,At Rim,,38:12,20,6,12,.500,0,0,,8,10,.800,9,2,0,4,15.7
Ricky Davis,Nov 9 2005,BOS,,MEM,-1,2-pt FG,P. Pierce,15,,42:08,18,6,10,.600,1,1,1.000,5,6,.833,5,3,2,0,16.0
Richard Hamilton,Nov 4 2005,DET,@,BOS,-1,2-pt FG,T. Prince,17,,40:10,26,11,19,.579,0,0,,4,4,1.000,4,1,2,0,13.4
Gilbert Arenas  (2),May 4 2005 p,WAS,@,CHI,tied,2-pt FG,unassisted,14,,48:00,16,5,14,.357,0,6,.000,6,9,.667,6,8,1,0,10.6
Mike Miller,Apr 18 2005,MEM,,SAS,tied,2-pt FG,J. Williams,22,,33:36,28,12,21,.571,4,8,.500,0,3,.000,9,2,0,0,21.0
Mike Sweetney,Apr 10 2005,NYK,@,IND,-1,2-pt FG,unassisted,1,,36:44,20,8,15,.533,0,0,,4,9,.444,9,1,0,0,13.9
Derek Fisher  (2),Mar 25 2005,GSW,,MIL,-2,3-pt FG,J. Richardson,28,,16:10,5,2,6,.333,1,3,.333,0,0,,3,3,0,0,3.0
Dwyane Wade  (2),Mar 15 2005,MIA,@,NYK,tied,2-pt FG,unassisted,18,,38:17,24,8,15,.533,1,1,1.000,7,8,.875,3,5,1,1,16.8
Mike Bibby  (2),Mar 8 2005,SAC,,MEM,tied,3-pt FG,P. Stojaković,33,,44:45,26,9,22,.409,2,4,.500,6,6,1.000,3,5,2,0,19.4
Tim Duncan  (3),Feb 28 2005,SAS,@,CLE,tied,2-pt FG,T. Parker,19,,31:53,20,9,17,.529,0,0,,2,4,.500,11,3,0,1,12.2
Nick Van Exel  (2),Feb 14 2005,POR,@,CHA,tied,3-pt FG,D. Anderson,29,,36:53,9,4,11,.364,1,4,.250,0,0,,5,3,1,0,4.9
Tim Thomas  (2),Feb 13 2005,NYK,,CHA,tied,3-pt FG,K. Thomas,23,,33:29,7,3,6,.500,1,3,.333,0,0,,5,4,0,0,3.5
Scott Padgett,Jan 21 2005,HOU,@,NYK,-1,2-pt FG,unassisted,6,,20:12,12,4,8,.500,2,2,1.000,2,2,1.000,4,1,0,0,7.1
Mehmet Okur,Jan 10 2005,UTA,,SAS,-1,2-pt FG,unassisted,At Rim,,36:48,23,7,11,.636,0,1,.000,9,10,.900,11,2,0,1,24.1
Quentin Richardson,Dec 20 2004,PHO,@,DEN,tied,2-pt FG,unassisted,At Rim,,42:15,19,7,13,.538,2,6,.333,3,4,.750,7,1,3,1,18.2
Chris Webber  (2),Dec 14 2004,SAC,@,MIL,tied,3-pt FG,M. Bibby,26,,36:31,23,11,24,.458,1,1,1.000,0,0,,6,4,1,1,12.7
Shareef Abdur-Rahim  (2),Dec 9 2004,POR,,BOS,-1,3-pt FG,D. Anderson,25,,39:27,15,6,16,.375,1,2,.500,2,2,1.000,14,1,2,0,11.5
Dwyane Wade  (1),Nov 19 2004,MIA,,UTA,tied,2-pt FG,unassisted,20,,46:53,39,12,22,.545,0,0,,15,21,.714,4,8,3,2,30.6
Jamal Crawford  (1),Nov 18 2004,NYK,@,HOU,-2,3-pt FG,A. Hardaway,26,,39:41,19,7,18,.389,5,11,.455,0,0,,5,8,2,0,17.9
Allen Iverson,Nov 12 2004,PHI,,IND,tied,2-pt FG,unassisted,14,,43:42,15,5,23,.217,0,3,.000,5,6,.833,5,9,2,0,2.9
Paul Pierce  (3),Nov 10 2004,BOS,,POR,tied,2-pt FG,unassisted,21,,40:29,20,6,13,.462,2,4,.500,6,9,.667,6,2,1,0,12.3
Derek Fisher  (1),May 13 2004 p,LAL,@,SAS,-1,2-pt FG,G. Payton,16,,24:18,8,3,7,.429,1,2,.500,1,2,.500,2,2,1,0,6.5
Kobe Bryant  (4),Apr 14 2004,LAL,@,POR,-2,3-pt FG,G. Payton,26,,53:28,37,14,31,.452,4,10,.400,5,9,.556,8,5,1,1,23.3
Chris Wilcox,Apr 13 2004,LAC,@,PHO,tied,2-pt FG,unassisted,At Rim,,24:27,24,11,15,.733,0,0,,2,3,.667,13,1,1,2,23.7
Gilbert Arenas  (1),Apr 9 2004,WAS,@,PHI,tied,3-pt FG,unassisted,27,,43:20,22,7,19,.368,5,11,.455,3,4,.750,2,9,2,0,15.2
Carlos Arroyo,Mar 27 2004,UTA,,DEN,tied,2-pt FG,R. Bell,15,,38:38,19,9,18,.500,1,2,.500,0,0,,6,10,0,1,15.5
Jamaal Magloire,Mar 23 2004,NOH,,DET,-1,2-pt FG,unassisted,11,,35:02,17,6,10,.600,0,0,,5,6,.833,13,2,0,2,18.5
Jamal Mashburn,Mar 3 2004,NOH,,CHI,tied,3-pt FG,unassisted,25,,45:51,27,9,26,.346,3,5,.600,6,10,.600,7,2,1,0,13.9
Jim Jackson,Feb 6 2004,HOU,,CHI,tied,2-pt FG,C. Mobley,22,,42:10,14,5,15,.333,1,3,.333,3,3,1.000,10,4,1,0,8.7
Antoine Walker  (3),Jan 27 2004,DAL,@,SEA,tied,2-pt FG,M. Finley,21,,39:27,17,8,14,.571,0,5,.000,1,2,.500,8,7,0,0,14.5
Kobe Bryant  (3),Dec 19 2003,LAL,,DEN,tied,2-pt FG,D. George,21,,30:50,13,5,14,.357,0,2,.000,3,4,.750,3,5,0,0,5.2
Glen Rice  (3),Dec 10 2003,LAC,,DAL,-1,2-pt FG,unassisted,15,,19:39,6,3,9,.333,0,4,.000,0,0,,6,1,1,0,4.8
Kevin Garnett  (2),Dec 7 2003,MIN,@,LAC,tied,2-pt FG,unassisted,21,,38:47,24,9,17,.529,0,0,,6,6,1.000,8,5,3,4,22.6
Ronald Murray,Nov 11 2003,SEA,@,MIN,tied,2-pt FG,unassisted,13,,35:11,29,9,18,.500,0,2,.000,11,12,.917,6,8,1,0,27.2
Stephon Marbury  (1),Apr 19 2003 p,PHO,@,SAS,-2,3-pt FG,unassisted,25,,53:00,26,9,28,.321,1,4,.250,7,8,.875,2,6,2,0,12.4
Kobe Bryant  (2),Apr 4 2003,LAL,@,MEM,-1,2-pt FG,unassisted,21,,40:09,21,7,15,.467,3,5,.600,4,4,1.000,7,6,1,0,14.4
Shareef Abdur-Rahim  (1),Apr 3 2003,ATL,,WAS,tied,2-pt FG,A. Henderson,17,,42:50,24,9,18,.500,0,2,.000,6,6,1.000,7,4,0,0,16.1
Chauncey Billups,Mar 9 2003,DET,,GSW,-1,3-pt FG,unassisted,28,,43:40,31,11,15,.733,1,4,.250,8,9,.889,2,8,1,0,29.1
Robert Horry  (3),Mar 5 2003,LAL,,IND,tied,2-pt FG,unassisted,23,,34:45,8,3,9,.333,2,6,.333,0,0,,4,6,1,0,6.9
Andrei Kirilenko,Mar 2 2003,UTA,@,NJN,-1,2-pt FG,unassisted,At Rim,,28:06,15,6,11,.545,0,1,.000,3,4,.750,6,2,4,2,17.3
Wally Szczerbiak,Feb 11 2003,MIN,,DAL,tied,2-pt FG,A. Peeler,17,,35:44,21,8,11,.727,3,4,.750,2,2,1.000,8,3,1,1,18.9
Tim Duncan  (2),Jan 24 2003,SAS,@,UTA,-1,2-pt FG,unassisted,16,,42:16,29,9,20,.450,0,0,,11,17,.647,17,6,1,3,23.8
Jermaine O'Neal,Jan 18 2003,IND,,DET,tied,2-pt FG,E. Strickland,19,,42:11,17,8,18,.444,0,0,,1,6,.167,9,1,1,3,7.7
Jason Terry  (1),Dec 27 2002,ATL,,SAS,tied,2-pt FG,unassisted,15,,40:00,15,6,14,.429,3,5,.600,0,0,,2,7,2,0,12.3
Robert Traylor,Dec 20 2002,NOH,@,SEA,tied,2-pt FG,unassisted,At Rim,,7:01,2,1,4,.250,0,0,,0,2,.000,4,0,0,0,0.4
Rasheed Wallace  (2),Dec 20 2002,POR,@,GSW,tied,2-pt FG,S. Pippen,16,,29:08,16,6,15,.400,0,2,.000,4,4,1.000,4,3,0,2,11.2
Ryan Bowen,Nov 23 2002,DEN,@,PHO,-1,2-pt FG,D. Harvey,At Rim,,18:08,4,2,2,1.000,0,0,,0,0,,2,0,1,1,4.3
James Posey  (1),Nov 22 2002,DEN,,LAC,tied,2-pt FG,D. Harvey,17,,40:30,16,6,19,.316,1,3,.333,3,4,.750,7,3,0,1,7.8
David Wesley,Nov 19 2002,NOH,,PHI,-1,2-pt FG,unassisted,8,,38:19,6,3,10,.300,0,4,.000,0,0,,2,1,0,0,-0.7
Jerry Stackhouse  (3),Nov 8 2002,WAS,,LAL,-1,2-pt FG,B. Russell,2,,38:18,29,9,23,.391,0,1,.000,11,11,1.000,6,1,0,0,16.0
Tim Duncan  (1),Nov 4 2002,SAS,@,MEM,tied,2-pt FG,S. Kerr,13,,49:22,29,14,27,.519,0,0,,1,2,.500,14,5,2,2,22.8
Robert Horry  (2),May 26 2002 p,LAL,,SAC,-2,3-pt FG,unassisted,25,,44:13,18,5,7,.714,3,5,.600,5,6,.833,14,5,1,1,23.1
Jeff McInnis,Mar 29 2002,LAC,@,PHO,tied,2-pt FG,unassisted,20,,30:00,20,7,13,.538,3,4,.750,3,4,.750,6,7,1,0,20.4
Lamond Murray,Mar 19 2002,CLE,,NJN,tied,3-pt FG,A. Miller,24,,28:44,17,7,15,.467,1,4,.250,2,2,1.000,6,1,1,1,12.9
Jalen Rose,Mar 16 2002,CHI,@,HOU,tied,2-pt FG,unassisted,15,,56:16,44,18,34,.529,3,4,.750,5,5,1.000,11,6,2,1,37.0
Jon Barry,Mar 7 2002,DET,@,WAS,tied,3-pt FG,D. Jones,24,,26:20,13,4,4,1.000,2,2,1.000,3,3,1.000,4,5,2,0,15.1
Eddie Jones  (1),Mar 5 2002,MIA,@,DET,tied,2-pt FG,unassisted,15,,41:43,24,10,18,.556,3,5,.600,1,1,1.000,3,1,1,0,16.4
Kobe Bryant  (1),Feb 22 2002,LAL,@,CHH,tied,2-pt FG,unassisted,18,,43:58,21,8,19,.421,0,3,.000,5,6,.833,9,6,3,1,16.5
Lee Nailon,Feb 1 2002,CHH,@,HOU,-1,2-pt FG,E. Campbell,20,,38:14,16,8,18,.444,0,0,,0,0,,2,1,1,1,7.4
Michael Jordan  (9),Jan 31 2002,WAS,@,CLE,-1,2-pt FG,P. Jones,15,,39:35,26,11,27,.407,0,1,.000,4,4,1.000,5,8,1,0,16.0
Moochie Norris  (3),Jan 8 2002,HOU,,NYK,-1,3-pt FG,S. Francis,23,,25:12,13,5,7,.714,2,2,1.000,1,2,.500,4,4,0,0,11.7
