playerName	franchiseName	salary
Udonis Haslem	MIA	2564753
Jared Dudley	LAL	2564753
Nicolas Batum	LAC	11608231
Wayne Ellington	DET	3005225
J.J. Barea	DAL	2564753
Jeff Green	BRK	2564753
Grayson Allen	MEM	2545320
Grant Williams	BOS	2498760
Tyrese Maxey	PHI	2478840
Chandler Hutchison	WAS	2443440
Darius Bazley	OKC	2399160
Zeke Nnaji	DEN	2379840
Aaron Holiday	IND	2345640
Bryn Forbes	MIL	2337145
E'Twaun Moore	PHO	2331593
Markieff Morris	LAL	2331593
Reggie Jackson	LAC	2331593
DeMarcus Cousins	HOU	2331593
Bismack Biyombo	CHO	2331593
Hassan Whiteside	SAC	2320044
Kent Bazemore	GSW	2320044
Alex Len	TOR	4032648
Luke Kornet	BOS	2304878
Ty Jerome	OKC	2303040
Taj Gibson	NYK	3283684
Mike Muscala	OKC	2283034
Ben McLemore	HOU	2283034
Anfernee Simons	POR	2252040
Brad Wanamaker	CHO	2250000
Monta Ellis	IND	2245400
Nassir Little	POR	2210640
R.J. Hampton	ORL	2193480
Matthew Dellavedova	CLE	2174318
Solomon Hill	ATL	2174318
Moritz Wagner	BOS	2161920
Edmond Sumner	IND	2160000
Dylan Windler	CLE	2137440
Immanuel Quickley	NYK	2105520
John Konchar	MEM	2093023
Landry Shamet	BRK	2090040
Mfiondu Kabengele	SAC	2075880
Jordan Poole	GSW	2063280
Bol Bol	DEN	2058240
Keldon Johnson	SAS	2048040
Payton Pritchard	BOS	2035800
Kevin Porter Jr.	HOU	2033160
Robert Williams	BOS	2029920
Langston Galloway	PHO	2028594
Tyler Johnson	BRK	2028594
Jacob Evans	NYK	2017320
Théo Maledon	OKC	2000000
Kenrich Williams	OKC	2000000
Damyean Dotson	CLE	2000000
Omari Spellman	NYK	1988280
Cameron Payne	PHO	1977011
Udoka Azubuike	UTA	1977000
Jaden McDaniels	MIN	1964760
Malachi Flynn	TOR	1950600
Gary Clark	DEN	1944677
Desmond Bane	MEM	1936440
Anderson Varejão	POR	1913345
Jontay Porter	MEM	1904762
Jahlil Okafor	DET	1882867
Raul Neto	WAS	1882867
JaKarr Sampson	IND	1882867
Jerian Grant	HOU	1882867
Frank Kaminsky	PHO	1882867
Larry Sanders	MIL	1865547
David Nwaba	HOU	1862250
Marquese Chriss	SAS	1824003
Timothé Luwawu-Cabarrot	BRK	1824003
Georges Niang	UTA	1783557
Rodions Kurucs	MIL	1780152
Damion Lee	GSW	1762796
Furkan Korkmaz	PHI	1762796
Alfonzo McKinnie	LAL	1762796
Abdel Nader	PHO	1752950
Semi Ojeleye	BOS	1752950
DeAndre' Bembry	TOR	1737145
Willy Hernangómez	NOP	1727145
Alex Len	WAS	4032648
Shake Milton	PHI	1701593
Thanasis Antetokounmpo	MIL	1701593
Brandon Goodwin	ATL	1701593
Wesley Iwundu	NOP	1678854
Harry Giles	POR	1678854
Torrey Craig	PHO	1678854
Dwayne Bacon	ORL	1678854
Sterling Brown	HOU	1678854
Monte Morris	DEN	1663861
Gary Trent Jr.	TOR	1663861
Sviatoslav Mykhailiuk	OKC	1663861
Mitchell Robinson	NYK	1663861
Kendrick Nunn	MIA	1663861
Duncan Robinson	MIA	1663861
Hamidou Diallo	DET	1663861
Jalen Brunson	DAL	1663861
Isaac Bonga	WAS	1663861
Jarred Vanderbilt	MIN	1663861
Devonte' Graham	CHO	1663861
Bruce Brown	BRK	1663861
Drew Eubanks	SAS	1620564
Josh Gray	OKC	1620564
Wenyen Gabriel	NOP	1620564
Terance Mann	LAC	1517984
KZ Okpala	MIA	1517981
Eric Paschall	GSW	1517981
Cody Martin	CHO	1517981
Nicolas Claxton	BRK	1517981
Carsen Edwards	BOS	1517981
Bruno Fernando	ATL	1517981
Luguentz Dort	OKC	1517981
Admiral Schofield	OKC	1517981
Daniel Gafford	WAS	1517981
Chris Silva	SAC	1517981
Justin James	SAC	1517981
Ignas Brazdeikis	PHI	1517981
Isaiah Roby	OKC	1517981
Talen Horton-Tucker	LAL	1517981
Jalen Lecque	IND	1517981
Chris Clemons	HOU	1517981
Alen Smailagi_	GSW	1517981
Matt Thomas	UTA	1517981
Miye Oni	UTA	1517981
Terence Davis	SAC	1517981
Naz Reid	MIN	1517981
Jaylen Nowell	MIN	1517981
Mychal Mulder	GSW	1517981
Dean Wade	CLE	1517981
Jalen McDaniels	CHO	1517981
Caleb Martin	CHO	1517981
Javonte Green	CHI	1517981
Robert Woodard	SAC	1500000
J.R. Smith	CLE	1456667
Jae'Sean Tate	HOU	1445967
DaQuan Jeffries	SAC	1445697
Zylan Cheatham	OKC	1445697
Isaiah Hartenstein	CLE	1445697
Zach Norvell	CHI	1445697
Kelan Martin	IND	1445697
Paul Watson	TOR	1445697
Vernon Carey Jr.	CHO	1350000
Xavier Tillman Sr.	MEM	1300000
Tyrell Terry	DAL	1289846
Blake Griffin	BRK	33685241
Ersan _lyasova	UTA	1194542
Guerschon Yabusele	BOS	1039080
