playerName	date	winningTeam	opposingTeam	assistedPlayerName	distance																		
Jordan Crawford	Jan 21 2013	WAS	POR	M. Webster	31																		
James Johnson	Dec 28 2012	SAC	NYK	J. Salmons	25																		
J.R. Smith	Dec 26 2012	NYK	PHO	J. Kidd	21																		
Joe Johnson	Dec 14 2012	BRK	DET	unassisted	23																		
Mo Williams	Dec 12 2012	UTA	SAS	unassisted	27																		
J.R. Smith	Dec 5 2012	NYK	CHA	unassisted	18																		
Brandon Jennings	Nov 3 2012	MIL	CLE	M. Dunleavy	26																		
Tony Parker	Nov 1 2012	SAS	OKC	D. Green	21																		
LaMarcus Aldridge	Apr 6 2012	POR	DAL	unassisted	17																		
Luol Deng	Mar 24 2012	CHI	TOR	unassisted	2																		
Derrick Rose	Mar 7 2012	CHI	MIL	unassisted	20																		
Luke Ridnour	Feb 22 2012	MIN	UTA	J. Barea	8																		
Kevin Love	Jan 20 2012	MIN	LAC	L. Ridnour	28																		
Kevin Durant	Dec 29 2011	OKC	DAL	T. Sefolosha	28																		
Nicolas Batum	Mar 25 2011	POR	SAS	A. Miller	At Rim																		
Jameer Nelson	Mar 18 2011	ORL	DEN	unassisted	26																		
Al Jefferson	Mar 9 2011	UTA	TOR	unassisted	2																		
Channing Frye	Feb 27 2011	PHO	IND	S. Nash	23																		
Stephen Jackson	Feb 12 2011	CHA	ATL	unassisted	19																		
Arron Afflalo	Feb 10 2011	DEN	DAL	C. Billups	19																		
Antonio McDyess	Feb 3 2011	SAS	LAL	unassisted	2																		
Kevin Durant	Jan 22 2011	OKC	NYK	unassisted	25																		
Tyreke Evans	Dec 29 2010	SAC	MEM	D. Cousins	50																		
Mike Dunleavy	Dec 20 2010	IND	NOH	unassisted	1																		
Manu Ginóbili	Dec 15 2010	SAS	MIL	unassisted	17																		
Andrew Bogut	Dec 8 2010	MIL	IND	L. Mbah a Moute	2																		
Derek Fisher	Dec 8 2010	LAL	LAC	unassisted	3																		
Carmelo Anthony	Nov 26 2010	DEN	CHI	unassisted	23																		
Mo Williams	Nov 24 2010	CLE	MIL	unassisted	15																		
Rudy Gay	Nov 20 2010	MEM	MIA	unassisted	13																		
Metta World Peace	May 27 2010 p	LAL	PHO	unassisted	At Rim																		
Paul Pierce	Apr 23 2010 p	BOS	MIA	unassisted	21																		
Carmelo Anthony	Mar 26 2010	DEN	TOR	C. Billups	18																		
Josh Smith	Mar 24 2010	ATL	ORL	unassisted	At Rim																		
Joe Johnson	Mar 19 2010	ATL	CHA	unassisted	21																		
James Posey	Jan 22 2010	NOH	MIN	unassisted	At Rim																		
Jamal Crawford	Jan 15 2010	ATL	PHO	M. Bibby	28																		
Sundiata Gaines	Jan 14 2010	UTA	CLE	R. Price	26																		
Gerald Wallace	Jan 9 2010	CHA	MEM	unassisted	At Rim																		
Kobe Bryant	Jan 1 2010	LAL	SAC	P. Gasol	25																		
Baron Davis	Dec 27 2009	LAC	BOS	R. Butler	22																		
Kobe Bryant	Dec 16 2009	LAL	MIL	unassisted	15																		
Kobe Bryant	Dec 4 2009	LAL	MIA	unassisted	27																		
Kevin Garnett	Nov 22 2009	BOS	NYK	P. Pierce	19																		
Dirk Nowitzki	Nov 16 2009	DAL	MIL	J. Kidd	18																		
Damien Wilkins	Oct 28 2009	MIN	NJN	unassisted	9																		
LeBron James	May 22 2009 p	CLE	ORL	M. Williams	25																		
Glen Davis	May 10 2009 p	BOS	ORL	P. Pierce	21																		
Caron Butler	Apr 10 2009	WAS	TOR	unassisted	20																		
Rasual Butler	Mar 31 2009	NOH	SAC	D. Brown	25																		
Andre Iguodala	Mar 17 2009	PHI	LAL	unassisted	25																		
Steve Novak	Mar 15 2009	LAC	NJN	B. Davis	24																		
Dwyane Wade	Mar 9 2009	MIA	CHI	unassisted	24																		
Devin Harris	Feb 23 2009	NJN	PHI	unassisted	43																		
Caron Butler	Feb 8 2009	WAS	IND	unassisted	18																		
LeBron James	Jan 23 2009	CLE	GSW	unassisted	19																		
Jeff Green	Jan 21 2009	OKC	GSW	R. Westbrook	16																		
Dirk Nowitzki	Jan 19 2009	DAL	PHI	unassisted	17																		
Chris Paul	Jan 19 2009	NOH	IND	J. Posey	28																		
Danny Granger	Jan 7 2009	IND	PHO	M. Dunleavy	27																		
Tony Parker	Jan 3 2009	SAS	PHI	unassisted	15																		
Vince Carter	Jan 2 2009	NJN	ATL	unassisted	33																		
Roger Mason	Dec 25 2008	SAS	PHO	T. Parker	22																		
Devin Harris	Dec 23 2008	NJN	IND	unassisted	22																		
Troy Murphy	Dec 2 2008	IND	LAL	unassisted	1																		
Larry Hughes	Nov 24 2008	CHI	UTA	unassisted	22																		
Brandon Roy	Nov 6 2008	POR	HOU	S. Blake	31																		
Rudy Gay	Oct 31 2008	MEM	ORL	K. Lowry	18																		
Ramon Sessions	Apr 2 2008	MIL	WAS	A. Bogut	20																		
Michael Redd	Feb 26 2008	MIL	CLE	unassisted	27																		
DeShawn Stevenson	Feb 25 2008	WAS	NOH	unassisted	25																		
Leon Powe	Feb 8 2008	BOS	MIN	unassisted	At Rim																		
Peja Stojaković	Feb 6 2008	NOH	PHO	unassisted	22																		
Kevin Martin	Jan 27 2008	SAC	SEA	unassisted	14																		
Hedo Türkoğlu	Jan 27 2008	ORL	BOS	unassisted	25																		
Rashard Lewis	Jan 21 2008	ORL	DET	unassisted	12																		
Jerry Stackhouse	Jan 12 2008	DAL	LAC	J. Terry	26																		
Linas Kleiza	Dec 23 2007	DEN	SAC	unassisted	22																		
Dwyane Wade	Dec 22 2007	MIA	UTA	unassisted	20																		
Andre Iguodala	Dec 22 2007	PHI	MEM	unassisted	20																		
Rudy Gay	Dec 19 2007	MEM	SAS	unassisted	27																		
Joe Johnson	Dec 6 2007	ATL	MIN	unassisted	22																		
Travis Outlaw	Dec 3 2007	POR	MEM	unassisted	6																		
Ray Allen	Nov 24 2007	BOS	CHA	P. Pierce	29																		
Kevin Durant	Nov 16 2007	SEA	ATL	E. Watson	28																		
Kevin Garnett	Mar 25 2007	MIN	POR	T. Hassell	15																		
Gilbert Arenas	Mar 21 2007	WAS	SEA	unassisted	At Rim																		
Steve Francis	Mar 10 2007	NYK	WAS	unassisted	26																		
Desmond Mason	Feb 7 2007	NOK	DEN	unassisted	5																		
Tyronn Lue	Feb 4 2007	ATL	NJN	unassisted	22																		
Vince Carter	Jan 29 2007	NJN	UTA	unassisted	35																		
Eddie Jones	Jan 24 2007	MEM	UTA	unassisted	22																		
Monta Ellis	Jan 24 2007	GSW	NJN	B. Davis	17																		
Gilbert Arenas	Jan 15 2007	WAS	UTA	unassisted	25																		
Kevin Garnett	Jan 5 2007	MIN	PHI	T. Hassell	15																		
Gilbert Arenas	Jan 3 2007	WAS	MIL	unassisted	32																		
David Lee	Dec 20 2006	NYK	CHA	J. Crawford	At Rim																		
T.J. Ford	Dec 20 2006	TOR	LAC	unassisted	12																		
Stephon Marbury	Dec 18 2006	NYK	UTA	unassisted	At Rim																		
Paul Pierce	Dec 9 2006	BOS	NJN	unassisted	22																		
James Posey	Dec 2 2006	MIA	MEM	J. Williams	26																		
