playerName,salary,season,,,,,
Marquese Chriss,1824003,2020-2021,,,,,
Georges Niang,1783557,2020-2021,,,,,
Rodions Kurucs,1780152,2020-2021,,,,,
PJ Dozier,1762796,2020-2021,,,,,
Damion Lee,1762796,2020-2021,,,,,
Alfonzo McKinnie,1762796,2020-2021,,,,,
Furkan Korkmaz,1762796,2020-2021,,,,,
Semi Ojeleye,1752950,2020-2021,,,,,
Abdel Nader,1752950,2020-2021,,,,,
DeAndre Bembry,1737145,2020-2021,,,,,
Thon Maker,1737145,2020-2021,,,,,
Willy Hernangomez,1737145,2020-2021,,,,,
Frank Kaminsky,1737145,2020-2021,,,,,
Monte Morris,1723707,2020-2021,,,,,
Kevin Porter,1717981,2020-2021,,,,,
Shake Milton,1701593,2020-2021,,,,,
Brandon Goodwin,1701593,2020-2021,,,,,
Thanasis Antetokounmpo,1701593,2020-2021,,,,,
Dwayne Bacon,1678854,2020-2021,,,,,
Wesley Iwundu,1678854,2020-2021,,,,,
Sterling Brown,1678854,2020-2021,,,,,
Torrey Craig,1678854,2020-2021,,,,,
Bruce Brown,1663861,2020-2021,,,,,
Devonte Graham,1663861,2020-2021,,,,,
Jalen Brunson,1663861,2020-2021,,,,,
Hamidou Diallo,1663861,2020-2021,,,,,
Kendrick Nunn,1663861,2020-2021,,,,,
Duncan Robinson,1663861,2020-2021,,,,,
Jarred Vanderbilt,1663861,2020-2021,,,,,
Mitchell Robinson,1663861,2020-2021,,,,,
Sviatoslav Mykhailiuk,1663861,2020-2021,,,,,
Gary Trent Jr,1663861,2020-2021,,,,,
Isaac Bonga,1663861,2020-2021,,,,,
Isaiah Hartenstein,1620564,2020-2021,,,,,
Wenyen Gabriel,1620564,2020-2021,,,,,
Drew Eubanks,1620564,2020-2021,,,,,
Josh Gray,1620564,2020-2021,,,,,
Harry Giles,1620564,2020-2021,,,,,
Bruno Fernando,1517981,2020-2021,,,,,
Carsen Edwards,1517981,2020-2021,,,,,
Nicolas Claxton,1517981,2020-2021,,,,,
Cody Martin,1517981,2020-2021,,,,,
Caleb Martin,1517981,2020-2021,,,,,
Jalen McDaniels,1517981,2020-2021,,,,,
Vlatko Cancar,1517981,2020-2021,,,,,
Eric Paschall,1517981,2020-2021,,,,,
Alen Smailagic,1517981,2020-2021,,,,,
Jalen Lecque,1517981,2020-2021,,,,,
KZ Okpala,1517981,2020-2021,,,,,
Jaylen Nowell,1517981,2020-2021,,,,,
Naz Reid,1517981,2020-2021,,,,,
Luguentz Dort,1517981,2020-2021,,,,,
Isaiah Roby,1517981,2020-2021,,,,,
Justin James,1517981,2020-2021,,,,,
Matt Thomas,1517981,2020-2021,,,,,
Daniel Gafford,1517981,2020-2021,,,,,
Admiral Schofield,1517981,2020-2021,,,,,
Javonte Green,1517981,2020-2021,,,,,
Dean Wade,1517981,2020-2021,,,,,
Mychal Mulder,1517981,2020-2021,,,,,
Chris Clemons,1517981,2020-2021,,,,,
Terance Mann,1517981,2020-2021,,,,,
Talen Horton-Tucker,1517981,2020-2021,,,,,
Ignas Brazdeikis,1517981,2020-2021,,,,,
Terence Davis,1517981,2020-2021,,,,,
Chris Silva,1517981,2020-2021,,,,,
Juwan Morgan,1517981,2020-2021,,,,,
Miye Oni,1517981,2020-2021,,,,,
Robert Woodard,1500000,2020-2021,,,,,
JR Smith,1456667,2020-2021,,,,,
Paul Watson,1445697,2020-2021,,,,,
DaQuan Jeffries,1445697,2020-2021,,,,,
Jae'Sean Tate,1445697,2020-2021,,,,,
Kelan Martin,1445697,2020-2021,,,,,
Zylan Cheatham,1445697,2020-2021,,,,,
Vernon Carey,1350000,2020-2021,,,,,
Xavier Tillman,1300000,2020-2021,,,,,
Tyrell Terry,1289846,2020-2021,,,,,
Moses Brown,1250000,2020-2021,,,,,
Sindarius Thornwell,1195896,2020-2021,,,,,
Ersan Ilyasova,1194542,2020-2021,,,,,
Glenn Robinson III,1165322,2020-2021,,,,,
Quinn Cook,1092497,2020-2021,,,,,
Zhaire Smith,1068200,2020-2021,,,,,
Guerschon Yabusele,1039080,2020-2021,,,,,
Damian Jones,1023251,2020-2021,,,,,
Nick Richards,1000000,2020-2021,,,,,
Jahmi'us Ramsey,1000000,2020-2021,,,,,
Kyle Singler,999200,2020-2021,,,,,
Shaquille Harrison,921201,2020-2021,,,,,
Deividas Sirvydis,898310,2020-2021,,,,,
KJ Martin,898310,2020-2021,,,,,
Daniel Oturu,898310,2020-2021,,,,,
Sam Merrill,898310,2020-2021,,,,,
Jordan Nwora,898310,2020-2021,,,,,
Isaiah Joe,898310,2020-2021,,,,,
CJ Elleby,898310,2020-2021,,,,,
Tre Jones,898310,2020-2021,,,,,
Elijah Hughes,898310,2020-2021,,,,,
Anthony Gill,898310,2020-2021,,,,,
Jordan Bell,810042,2020-2021,,,,,
Iman Shumpert,803044,2020-2021,,,,,
Khyri Thomas,744684,2020-2021,,,,,
Frank Jackson,699115,2020-2021,,,,,
Rayjon Tucker,693755,2020-2021,,,,,
Tyler Cook,693141,2020-2021,,,,,
Cole Aldrich,685340,2020-2021,,,,,
Shaun Livingston,666666,2020-2021,,,,,
Alize Johnson,621587,2020-2021,,,,,
Paul Reed,609128,2020-2021,,,,,
Chimezie Metu,499115,2020-2021,,,,,
Oshae Brissett,498040,2020-2021,,,,,
Dakari Johnson,459414,2020-2021,,,,,
Mason Jones,458370,2020-2021,,,,,
Nathan Knight,449115,2020-2021,,,,,
Skylar Mays,449115,2020-2021,,,,,
Tacko Fall,449115,2020-2021,,,,,
Tremont Waters,449115,2020-2021,,,,,
Chris Chiozza,449115,2020-2021,,,,,
Reggie Perry,449115,2020-2021,,,,,
Nate Darling,449115,2020-2021,,,,,
Grant Riller,449115,2020-2021,,,,,
Devon Dotson,449115,2020-2021,,,,,
Adam Mokoka,449115,2020-2021,,,,,
Marques Bolden,449115,2020-2021,,,,,
Lamar Stevens,449115,2020-2021,,,,,
Tyler Bey,449115,2020-2021,,,,,
Nate Hinton,449115,2020-2021,,,,,
Markus Howard,449115,2020-2021,,,,,
Saben Lee,449115,2020-2021,,,,,
Nico Mannion,449115,2020-2021,,,,,
Juan Toscano-Anderson,449115,2020-2021,,,,,
Brian Bowen,449115,2020-2021,,,,,
Cassius Stanley,449115,2020-2021,,,,,
Amir Coffey,449115,2020-2021,,,,,
Jay Scrubb,449115,2020-2021,,,,,
Kostas Antetokounmpo,449115,2020-2021,,,,,
Devontae Cacok,449115,2020-2021,,,,,
Sean McDermott,449115,2020-2021,,,,,
Killian Tillie,449115,2020-2021,,,,,
Max Strus,449115,2020-2021,,,,,
Gabe Vincent,449115,2020-2021,,,,,
Jaylen Adams,449115,2020-2021,,,,,
Mamadi Diakite,449115,2020-2021,,,,,
Jordan McLaughlin,449115,2020-2021,,,,,
Will Magnay,449115,2020-2021,,,,,
Naji Marshall,449115,2020-2021,,,,,
Jared Harper,449115,2020-2021,,,,,
Theo Pinson,449115,2020-2021,,,,,
Josh Hall,449115,2020-2021,,,,,
Karim Mane,449115,2020-2021,,,,,
Ty-Shon Alexander,449115,2020-2021,,,,,
Keljin Blevins,449115,2020-2021,,,,,
Kyle Guy,449115,2020-2021,,,,,
Keita Bates-Diop,449115,2020-2021,,,,,
Quinndary Weatherspoon,449115,2020-2021,,,,,
Jalen Harris,449115,2020-2021,,,,,
Yuta Watanabe,449115,2020-2021,,,,,
Jarrell Brantley,449115,2020-2021,,,,,
Trent Forrest,449115,2020-2021,,,,,
Garrison Mathews,449115,2020-2021,,,,,
Cassius Winston,449115,2020-2021,,,,,
Noah Vonleh,427725,2020-2021,,,,,
Norvel Pelle,415885,2020-2021,,,,,
Brodric Thomas,412202,2020-2021,,,,,
Andre Roberson,411639,2020-2021,,,,,
Anzejs Pasecniks,374297,2020-2021,,,,,
AJ Hammons,350087,2020-2021,,,,,
Greg Whittington,332252,2020-2021,,,,,
Raymond Spalding,289156,2020-2021,,,,,
Chasson Randle,279927,2020-2021,,,,,
Justin Patton,267623,2020-2021,,,,,
Anthony Lamb,215330,2020-2021,,,,,
Axel Toupane,196872,2020-2021,,,,,
Anthony Tolliver,175668,2020-2021,,,,,
Henry Ellenson,168983,2020-2021,,,,,
Ashton Hagans,166111,2020-2021,,,,,
Isaiah Thomas,159698,2020-2021,,,,,
John Henson,158907,2020-2021,,,,,
Jaylen Hoard,141515,2020-2021,,,,,
Tim Frazier,138945,2020-2021,,,,,
Armoni Brooks,135362,2020-2021,,,,,
Jordan Bone,135350,2020-2021,,,,,
Rondae Hollis-Jefferson,128963,2020-2021,,,,,
Justin Anderson,125000,2020-2021,,,,,
Troy Williams,122741,2020-2021,,,,,
Gary Payton II,118983,2020-2021,,,,,
Yogi Ferrell,118982,2020-2021,,,,,
Cam Reynolds,110998,2020-2021,,,,,
